WLCverse,curr,ctype
208,c760,x-yiqtol-null clause
208,c761,Nominal clause
208,c762,x-qatal-null clause
209,c763,X-yiqtol clause
209,c764,Adjective clause
209,c765,X-yiqtol clause
209,c766,x-qatal-null clause
210,c767,x-yiqtol-null clause
211,c768,We-x-yiqtol-null clause
211,c769,x-yiqtol-null clause
211,c770,We-x-yiqtol-null clause
212,c771,Casus pendens
212,c772,X-yiqtol clause
212,c773,x-qatal-null clause
213,c774,We-X-imperative clause
213,c775,We-imperative-null clause
213,c776,Zero-imperative-null clause
213,c777,We-imperative-null clause
214,c778,Wayyiqtol-X clause
214,c779,Infinitive construct clause
215,c780,Casus pendens
215,c781,Participle clause
216,c782,Ellipsis
216,c783,Nominal clause
216,c784,Ellipsis
216,c785,Ellipsis
216,c786,Participle clause
216,c787,Ellipsis
217,c788,We-qatal-null clause
217,c789,We-x-yiqtol-X clause
217,c790,We-x-yiqtol-X clause
217,c791,Infinitive construct clause
218,c792,Wayyiqtol-X clause
218,c793,Nominal clause
218,c794,Participle clause
218,c795,Nominal clause
218,c796,Nominal clause
219,c797,x-qatal-null clause
219,c798,We-qatal-null clause
220,c799,We-qatal-null clause
220,c800,Infinitive construct clause
220,c801,We-qatal-X clause
221,c802,We-qatal-null clause
221,c803,Nominal clause
221,c804,We-x-yiqtol-X clause
221,c805,Infinitive construct clause
222,c806,We-qatal-X clause
222,c807,We-qatal-null clause
222,c808,Infinitive construct clause
222,c809,Nominal clause
223,c810,Wayyiqtol-X clause
223,c811,Nominal clause
223,c812,x-qatal-null clause
223,c813,Nominal clause
224,c814,Wayyiqtol-X clause
224,c815,Participle clause
224,c816,Wayyiqtol-X clause
224,c817,Casus pendens
224,c818,Nominal clause
225,c819,Nominal clause
225,c820,We-x-qatal-X clause
226,c821,Wayyiqtol-null clause
226,c822,Nominal clause
226,c823,Wayyiqtol-null clause
227,c824,Wayyiqtol-null clause
227,c825,Wayyiqtol-null clause
227,c826,Wayyiqtol-null clause
228,c827,Wayyiqtol-X clause
228,c828,Wayyiqtol-null clause
229,c829,Wayyiqtol-X clause
229,c830,Wayyiqtol-null clause
229,c831,Wayyiqtol-null clause
229,c832,Wayyiqtol-null clause
229,c833,Nominal clause
229,c834,We-x-qatal-null clause
230,c835,Wayyiqtol-X clause
230,c836,Wayyiqtol-null clause
230,c837,x-qatal-X clause
231,c838,Wayyiqtol-null clause
231,c839,Participle clause
231,c840,x-yiqtol-null clause
232,c841,Wayyiqtol-null clause
232,c842,Participle clause
232,c843,We-yiqtol-X clause
233,c844,Zero-yiqtol-X clause
233,c845,We-yiqtol-null clause
233,c846,We-yiqtol-X clause
234,c847,Wayyiqtol-X clause
235,c848,Wayyiqtol-X clause
235,c849,Wayyiqtol-null clause
236,c850,Nominal clause
236,c851,Wayyiqtol-X clause
237,c852,Nominal clause
238,c853,Nominal clause
239,c854,Nominal clause
240,c855,x-qatal-X clause
240,c856,Ellipsis
240,c857,x-qatal-X clause
241,c858,Nominal clause
242,c859,Nominal clause
242,c860,Nominal clause
243,c861,We-X-qatal clause
243,c862,X-qatal clause
243,c863,Infinitive construct clause
244,c864,X-qatal clause
244,c865,x-yiqtol-null clause
244,c866,Nominal clause
245,c867,Wayyiqtol-X clause
246,c868,x-qatal-X clause
246,c869,Wayyiqtol-null clause
247,c870,Ellipsis
247,c871,Nominal clause
248,c872,We-X-qatal clause
249,c873,Ellipsis
249,c874,x-qatal-X clause
249,c875,Ellipsis
250,c876,We-X-qatal clause
251,c877,Ellipsis
252,c878,Ellipsis
253,c879,Ellipsis
253,c880,We-x-qatal-X clause
254,c881,Wayyiqtol-X clause
254,c882,Infinitive construct clause
254,c883,Wayyiqtol-X clause
254,c884,Infinitive construct clause
254,c885,Wayyiqtol-X clause
255,c886,Nominal clause
256,c887,We-x-qatal-null clause
256,c888,Nominal clause
257,c889,Nominal clause
258,c890,Nominal clause
